,actual
2013-12-16 00:00:00,232.18988
2013-12-16 00:10:00,246.45065
2013-12-16 00:20:00,214.63658
2013-12-16 00:30:00,219.90701
2013-12-16 00:40:00,268.1309
2013-12-16 00:50:00,221.68805
2013-12-16 01:00:00,222.30826
2013-12-16 01:10:00,211.72433
2013-12-16 01:20:00,228.3671
2013-12-16 01:30:00,209.08351
2013-12-16 01:40:00,192.91374
2013-12-16 01:50:00,192.76501
2013-12-16 02:00:00,206.97308
2013-12-16 02:10:00,234.10466
2013-12-16 02:20:00,206.42862
2013-12-16 02:30:00,206.32529
2013-12-16 02:40:00,195.2828
2013-12-16 02:50:00,187.51591
2013-12-16 03:00:00,169.92992
2013-12-16 03:10:00,193.78354
2013-12-16 03:20:00,169.874
2013-12-16 03:30:00,167.73363
2013-12-16 03:40:00,196.84103
2013-12-16 03:50:00,163.31662
2013-12-16 04:00:00,164.88988
2013-12-16 04:10:00,213.83914
2013-12-16 04:20:00,168.66272
2013-12-16 04:30:00,166.91852
2013-12-16 04:40:00,187.45837
2013-12-16 04:50:00,171.63751
2013-12-16 05:00:00,169.25966
2013-12-16 05:10:00,178.00412
2013-12-16 05:20:00,168.92126
2013-12-16 05:30:00,171.16241
2013-12-16 05:40:00,205.22343
2013-12-16 05:50:00,189.87572
2013-12-16 06:00:00,199.52766
2013-12-16 06:10:00,182.89713
2013-12-16 06:20:00,229.88231
2013-12-16 06:30:00,194.64496
2013-12-16 06:40:00,224.58917
2013-12-16 06:50:00,237.17328
2013-12-16 07:00:00,303.32068
2013-12-16 07:10:00,308.52094
2013-12-16 07:20:00,344.40997
2013-12-16 07:30:00,428.8805
2013-12-16 07:40:00,472.67004
2013-12-16 07:50:00,609.2558
2013-12-16 08:00:00,728.3173
2013-12-16 08:10:00,860.023
2013-12-16 08:20:00,1125.8514
2013-12-16 08:30:00,1168.1613
2013-12-16 08:40:00,1387.155
2013-12-16 08:50:00,1756.5063
2013-12-16 09:00:00,2052.4333
2013-12-16 09:10:00,2183.5962
2013-12-16 09:20:00,2043.3542
2013-12-16 09:30:00,2211.981
2013-12-16 09:40:00,2340.4597
2013-12-16 09:50:00,2499.4402
2013-12-16 10:00:00,2422.3496
2013-12-16 10:10:00,2569.78
2013-12-16 10:20:00,2579.7612
2013-12-16 10:30:00,2654.054
2013-12-16 10:40:00,2848.7236
2013-12-16 10:50:00,2786.2073
2013-12-16 11:00:00,2861.6458
2013-12-16 11:10:00,2811.4268
2013-12-16 11:20:00,2873.9028
2013-12-16 11:30:00,2930.7627
2013-12-16 11:40:00,3040.1116
2013-12-16 11:50:00,3118.577
2013-12-16 12:00:00,2854.662
2013-12-16 12:10:00,2981.6665
2013-12-16 12:20:00,3125.8435
2013-12-16 12:30:00,3391.409
2013-12-16 12:40:00,3522.35
2013-12-16 12:50:00,3438.2263
2013-12-16 13:00:00,3530.8872
2013-12-16 13:10:00,3249.536
2013-12-16 13:20:00,3270.1113
2013-12-16 13:30:00,3355.1326
2013-12-16 13:40:00,3163.86
2013-12-16 13:50:00,3426.3613
2013-12-16 14:00:00,3390.7324
2013-12-16 14:10:00,3217.6746
2013-12-16 14:20:00,3293.2996
2013-12-16 14:30:00,3250.9746
2013-12-16 14:40:00,2988.6753
2013-12-16 14:50:00,2891.025
2013-12-16 15:00:00,2885.9453
2013-12-16 15:10:00,3058.1343
2013-12-16 15:20:00,2785.339
2013-12-16 15:30:00,3014.1555
2013-12-16 15:40:00,2961.349
2013-12-16 15:50:00,2770.2827
2013-12-16 16:00:00,2893.5413
2013-12-16 16:10:00,3021.9102
2013-12-16 16:20:00,3028.2185
2013-12-16 16:30:00,3020.5498
2013-12-16 16:40:00,2886.4558
2013-12-16 16:50:00,2971.2048
2013-12-16 17:00:00,2918.5884
2013-12-16 17:10:00,2771.4988
2013-12-16 17:20:00,2934.1196
2013-12-16 17:30:00,2954.7515
2013-12-16 17:40:00,2941.6685
2013-12-16 17:50:00,2747.211
2013-12-16 18:00:00,2658.7866
2013-12-16 18:10:00,2650.0586
2013-12-16 18:20:00,2317.7249
2013-12-16 18:30:00,2560.4683
2013-12-16 18:40:00,2174.4463
2013-12-16 18:50:00,2060.1047
2013-12-16 19:00:00,2025.3452
2013-12-16 19:10:00,1840.871
2013-12-16 19:20:00,1864.1748
2013-12-16 19:30:00,1815.9197
2013-12-16 19:40:00,1556.1769
2013-12-16 19:50:00,1483.828
2013-12-16 20:00:00,1350.4186
2013-12-16 20:10:00,1286.6215
2013-12-16 20:20:00,1215.8221
2013-12-16 20:30:00,1162.7462
2013-12-16 20:40:00,1167.4231
2013-12-16 20:50:00,962.30133
2013-12-16 21:00:00,951.8954
2013-12-16 21:10:00,927.2463
2013-12-16 21:20:00,875.95105
2013-12-16 21:30:00,853.0675
2013-12-16 21:40:00,817.6552
2013-12-16 21:50:00,764.6575
2013-12-16 22:00:00,819.1556
2013-12-16 22:10:00,746.0706
2013-12-16 22:20:00,672.6377
2013-12-16 22:30:00,686.4749
2013-12-16 22:40:00,691.57684
2013-12-16 22:50:00,721.8354
2013-12-16 23:00:00,670.4379
2013-12-16 23:10:00,651.57837
2013-12-16 23:20:00,609.9294
2013-12-16 23:30:00,588.9925
2013-12-16 23:40:00,525.4099
2013-12-16 23:50:00,516.77344
2013-12-17 00:00:00,467.0607
2013-12-17 00:10:00,495.03104
2013-12-17 00:20:00,440.19058
2013-12-17 00:30:00,458.8445
2013-12-17 00:40:00,489.79425
2013-12-17 00:50:00,408.49872
2013-12-17 01:00:00,388.28894
2013-12-17 01:10:00,415.64603
2013-12-17 01:20:00,387.50836
2013-12-17 01:30:00,314.92847
2013-12-17 01:40:00,360.4596
2013-12-17 01:50:00,302.23495
2013-12-17 02:00:00,288.72836
2013-12-17 02:10:00,350.71536
2013-12-17 02:20:00,315.43918
2013-12-17 02:30:00,325.187
2013-12-17 02:40:00,376.63162
2013-12-17 02:50:00,344.88116
2013-12-17 03:00:00,306.31808
2013-12-17 03:10:00,379.13046
2013-12-17 03:20:00,325.17874
2013-12-17 03:30:00,319.2871
2013-12-17 03:40:00,333.00015
2013-12-17 03:50:00,284.91956
2013-12-17 04:00:00,282.09207
2013-12-17 04:10:00,316.85693
2013-12-17 04:20:00,279.53867
2013-12-17 04:30:00,316.08957
2013-12-17 04:40:00,313.36972
2013-12-17 04:50:00,296.68118
2013-12-17 05:00:00,290.39072
2013-12-17 05:10:00,339.114
2013-12-17 05:20:00,308.09247
2013-12-17 05:30:00,294.46112
2013-12-17 05:40:00,315.0319
2013-12-17 05:50:00,331.99133
2013-12-17 06:00:00,317.04095
2013-12-17 06:10:00,330.7334
2013-12-17 06:20:00,338.5261
2013-12-17 06:30:00,311.98495
2013-12-17 06:40:00,377.2446
2013-12-17 06:50:00,364.60797
2013-12-17 07:00:00,463.9998
2013-12-17 07:10:00,515.5596
2013-12-17 07:20:00,516.2354
2013-12-17 07:30:00,538.05585
2013-12-17 07:40:00,723.5852
2013-12-17 07:50:00,763.58185
2013-12-17 08:00:00,728.2444
2013-12-17 08:10:00,929.1892
2013-12-17 08:20:00,1197.8625
2013-12-17 08:30:00,1237.7401
2013-12-17 08:40:00,1657.8983
2013-12-17 08:50:00,1860.2916
2013-12-17 09:00:00,2083.8604
2013-12-17 09:10:00,2054.5942
2013-12-17 09:20:00,2340.4487
2013-12-17 09:30:00,2494.3694
2013-12-17 09:40:00,2697.0933
2013-12-17 09:50:00,2653.8052
2013-12-17 10:00:00,2913.4268
2013-12-17 10:10:00,2943.0488
2013-12-17 10:20:00,2912.692
2013-12-17 10:30:00,2882.792
2013-12-17 10:40:00,2897.9875
2013-12-17 10:50:00,3178.6436
2013-12-17 11:00:00,2957.5388
2013-12-17 11:10:00,3091.1826
2013-12-17 11:20:00,2935.6853
2013-12-17 11:30:00,3038.8826
2013-12-17 11:40:00,3033.9993
2013-12-17 11:50:00,3046.0046
2013-12-17 12:00:00,3170.3352
2013-12-17 12:10:00,3287.0544
2013-12-17 12:20:00,3273.398
2013-12-17 12:30:00,3428.1892
2013-12-17 12:40:00,3300.2434
2013-12-17 12:50:00,3524.2598
2013-12-17 13:00:00,3532.397
2013-12-17 13:10:00,3420.438
2013-12-17 13:20:00,3283.0588
2013-12-17 13:30:00,3427.2715
2013-12-17 13:40:00,3333.6228
2013-12-17 13:50:00,3423.7214
2013-12-17 14:00:00,3479.524
2013-12-17 14:10:00,3253.9463
2013-12-17 14:20:00,3157.2212
2013-12-17 14:30:00,3336.7227
2013-12-17 14:40:00,3390.9922
2013-12-17 14:50:00,3404.9238
2013-12-17 15:00:00,3288.2458
2013-12-17 15:10:00,3316.8003
2013-12-17 15:20:00,3067.6777
2013-12-17 15:30:00,3504.3923
2013-12-17 15:40:00,3546.8484
2013-12-17 15:50:00,3474.942
2013-12-17 16:00:00,3474.5674
2013-12-17 16:10:00,3764.53
2013-12-17 16:20:00,3574.8708
2013-12-17 16:30:00,3395.2375
2013-12-17 16:40:00,3378.8628
2013-12-17 16:50:00,3221.695
2013-12-17 17:00:00,3290.8674
2013-12-17 17:10:00,3329.6926
2013-12-17 17:20:00,3222.857
2013-12-17 17:30:00,3108.7493
2013-12-17 17:40:00,2915.6516
2013-12-17 17:50:00,2874.3008
2013-12-17 18:00:00,2772.029
2013-12-17 18:10:00,2927.0051
2013-12-17 18:20:00,2516.4592
2013-12-17 18:30:00,2449.7654
2013-12-17 18:40:00,2397.9624
2013-12-17 18:50:00,2353.1257
2013-12-17 19:00:00,2134.742
2013-12-17 19:10:00,2112.6353
2013-12-17 19:20:00,1947.9388
2013-12-17 19:30:00,1829.2688
2013-12-17 19:40:00,1907.5634
2013-12-17 19:50:00,1698.4342
2013-12-17 20:00:00,1633.7745
2013-12-17 20:10:00,1544.1361
2013-12-17 20:20:00,1431.9978
2013-12-17 20:30:00,1385.2742
2013-12-17 20:40:00,1527.5688
2013-12-17 20:50:00,1436.9327
2013-12-17 21:00:00,1300.8354
2013-12-17 21:10:00,1182.8038
2013-12-17 21:20:00,1130.9697
2013-12-17 21:30:00,1155.9694
2013-12-17 21:40:00,1180.3082
2013-12-17 21:50:00,978.6412
2013-12-17 22:00:00,988.7112
2013-12-17 22:10:00,1085.0681
2013-12-17 22:20:00,1033.1768
2013-12-17 22:30:00,944.34955
2013-12-17 22:40:00,942.0194
2013-12-17 22:50:00,967.81134
2013-12-17 23:00:00,1005.829
2013-12-17 23:10:00,907.166
2013-12-17 23:20:00,756.8508
2013-12-17 23:30:00,723.3757
2013-12-17 23:40:00,765.8622
2013-12-17 23:50:00,716.98413
2013-12-18 00:00:00,661.3385
2013-12-18 00:10:00,632.77216
2013-12-18 00:20:00,580.13055
2013-12-18 00:30:00,556.2925
2013-12-18 00:40:00,602.6932
2013-12-18 00:50:00,549.747
2013-12-18 01:00:00,485.12848
2013-12-18 01:10:00,531.80493
2013-12-18 01:20:00,523.7163
2013-12-18 01:30:00,457.69116
2013-12-18 01:40:00,520.6367
2013-12-18 01:50:00,493.671
2013-12-18 02:00:00,406.31778
2013-12-18 02:10:00,450.19852
2013-12-18 02:20:00,436.3538
2013-12-18 02:30:00,380.0415
2013-12-18 02:40:00,439.22012
2013-12-18 02:50:00,414.0453
2013-12-18 03:00:00,377.93063
2013-12-18 03:10:00,423.2731
2013-12-18 03:20:00,431.6105
2013-12-18 03:30:00,381.56796
2013-12-18 03:40:00,433.5383
2013-12-18 03:50:00,402.70056
2013-12-18 04:00:00,372.7359
2013-12-18 04:10:00,415.75565
2013-12-18 04:20:00,406.3473
2013-12-18 04:30:00,371.60526
2013-12-18 04:40:00,420.7162
2013-12-18 04:50:00,392.8665
2013-12-18 05:00:00,370.8636
2013-12-18 05:10:00,419.274
2013-12-18 05:20:00,399.4987
2013-12-18 05:30:00,368.65482
2013-12-18 05:40:00,424.9937
2013-12-18 05:50:00,428.42404
2013-12-18 06:00:00,389.51395
2013-12-18 06:10:00,434.3549
2013-12-18 06:20:00,427.3218
2013-12-18 06:30:00,394.56573
2013-12-18 06:40:00,496.3794
2013-12-18 06:50:00,473.81973
2013-12-18 07:00:00,486.70123
2013-12-18 07:10:00,599.95416
2013-12-18 07:20:00,525.7067
2013-12-18 07:30:00,586.37915
2013-12-18 07:40:00,784.0884
2013-12-18 07:50:00,714.16705
2013-12-18 08:00:00,779.4248
2013-12-18 08:10:00,981.38135
2013-12-18 08:20:00,1149.2911
2013-12-18 08:30:00,1348.9604
2013-12-18 08:40:00,1568.0529
2013-12-18 08:50:00,1768.0126
2013-12-18 09:00:00,2023.6375
2013-12-18 09:10:00,2272.9026
2013-12-18 09:20:00,2444.1504
2013-12-18 09:30:00,2440.6448
